Hanji,POJ,English,Chinese
"a-lú-mih","a-lú-mih","Aluminum.","鋁、輕銀。源自日語アルミ(arumi)。"
"a-mó͘-ní-á","a-mó͘-ní-á","Ammonia.","阿摩尼亞。源自日語アンモニア(ammonia)。"
"a-ní-khih","a-ní-khih","Big brother (informal).","老兄。源自日語あにき(aneki)，日語漢字為「兄貴」。"
"a-sír-phí-lín","a-sír-phí-lín","Aspirin.","阿斯匹林。源自日語アスピリン(asupirin)。"
"a̍t-sá-lih","a̍t-sá-lih","Frankly.","乾脆、阿莎力。源自日語あっさり(assari)。"
"bai-ó͘-lín","bai-ó͘-lín","Violin.","小提琴。源自日語バイオリン(baiorin)。"
"bak-kuh","bak-kuh","To reverse (a car).","倒車。源自日語バック(bakku)。"
"bat-tah","bat-tah","Batter (in baseball).","球棒。源自日語バッター(battaa)。"
"ba̍t-té-lih","ba̍t-té-lih","Battery.","蓄電池。源自日語バッテリー(batterii)。"
"bi-tá-bín","bi-tá-bín","Vitamin.","維他命、維生素。源自日語ビタミン(bitamin)。"
"biat-to͘h","biat-to͘h","Bed.","彈簧床。源自日語ベット(betto)。"
"bo̍k-sìn-gù","bo̍k-sìn-gù","Boxing.","拳擊。源自日語ボクシング(bokushengu)。"
"bu-là-jià","bu-là-jià","Bra.","胸罩。源自日語ブラジャー(burajaa)。"
"bàn-bà","bàn-bà","Bumper.","保險桿。源自日語バンバー"
"bàng-gà","bàng-gà","Comic.","漫畫、動畫片、卡通。源自日語まんが(manga)，日語漢字為「漫画」。"
"bá-luh","bá-luh","Crowbar.","拔釘子的器具。源自日語バール(baaru)。"
"bá-suh","bá-suh","Bus.","巴士、公共汽車。源自日語バス(basu)。"
"bá-tah","bá-tah","Butter.","奶油。源自日語バター(bataa)。"
"bì-lù","bì-lù","Beer.","啤酒。源自日語ビール(biiru)。"
"bò͘-lù","bò͘-lù","Ball (in baseball).","壞球。源自日語ボール(bo͘ru)。"
"bò͘-tò͘","bò͘-tò͘","Boat.","小船。源自日語ボート(bo͘to)。"
"băi-khín","băi-khín","Bacteria.","黴菌、細菌。源自日語ばいきん(baekin)，日語漢字為「黴菌」。"
"chhiăn-pá-lah","chhiăn-pá-lah","Sword fight play.","兒童模擬武打戲的、日本古裝武打戲。源自日語ちゃんばら(chambara)。"
"chiok-kih","chiok-kih","Vest.","剪刀。源自日語チョッキ(chokki)。"
"chio͘-kó͘-lè-tò͘","chio͘-kó͘-lè-tò͘","Chocolate.","巧克力。源自日語チョコレート(chokoreeto)。"
"chit-puh","chit-puh","Tip (gratuity).","小費。源自日語チップ(chippu)。"
"e-pú-lóng","e-pú-lóng","Apron.","圍裙。源自日語エプロン(epuron)。"
"ga-só͘-lín","ga-só͘-lín","Gasoline.","汽油。源自日語ガソリン(gasorin)。"
"giāng","giāng","Rock-paper-scissors.","猜拳。源自日語じゃんけん(janken)，日語漢字為「じゃん拳」。"
"go͘-lú-huh","go͘-lú-huh","Golf.","高爾夫球。源自日語ゴルフ(gorufu)。"
"gá-lah","gá-lah","Cinder.","焦炭。源自日語がら(gara)。"
"gá-suh","gá-suh","Gas.","瓦斯。源自日語ガス(gasu)。"
"gì-tà","gì-tà","Guitar.","吉他。源自日語ギター(gitaa)。"
"gō͘-bō͘","gō͘-bō͘","Burdock.","牛蒡。源自日語ごぼう(gobo͘)，日語漢字為「牛蒡」。"
"ha-mó͘-ní-khah","ha-mó͘-ní-khah","Harmonica.","口琴。源自日語ハーモニカ(haamoneka)。"
